uid,gender
90573,0
51665,0
36142,0
55571,0
45761,0
114177,0
36683,0
65682,0
127614,0
120111,0
59320,0
43585,0
50397,1
93825,0
85916,1
7736,1
87849,0
31456,0
29452,0
61225,0
93238,0
110169,0
34614,0
113732,0
81816,0
12009,1
104116,0
28240,0
40603,0
124212,1
77165,0
123244,1
24714,0
35687,1
57143,0
97552,0
62411,2
78335,0
79024,0
98963,0
64506,0
28660,0
90843,0
2084,0
83310,0
7935,0
117959,2
89138,0
37983,0
89945,1
101503,1
123251,0
15065,0
5869,0
111275,0
31781,0
13798,0
101348,0
74696,0
36097,0
29504,0
35905,0
98980,0
40773,0
107338,1
17988,0
90111,0
130599,0
34389,2
31010,0
116621,2
113285,0
30346,0
50158,0
115043,0
69029,0
130508,1
58678,2
66221,0
22076,1
3135,2
126264,0
4183,0
29017,0
73945,1
81498,0
11744,0
117284,0
113890,0
37053,1
43841,1
58154,0
103766,0
6153,0
13630,0
17936,0
57259,0
10135,0
66539,0
103364,1
40781,0
11294,2
58985,1
109751,2
117415,1
101957,0
96474,0
12349,0
108811,1
63831,2
50506,0
14439,0
99607,1
11781,1
77397,1
43596,0
17948,0
76019,0
107772,1
102268,0
84223,1
36240,0
11606,0
3268,0
59615,1
75324,0
67673,0
93790,0
116559,0
23009,0
18778,1
50910,1
95477,0
28549,0
125530,1
52703,1
22837,1
799,0
26013,0
104876,1
92802,0
106502,0
19055,0
117298,1
68445,2
42268,2
27234,0
24264,0
45857,0
101569,2
726,0
84198,0
115740,0
43850,0
73977,0
92967,0
44427,1
113648,0
121598,0
33070,2
89516,1
114118,1
4502,0
41858,2
18297,2
56074,0
3562,0
77388,0
87402,0
125504,0
21906,1
106916,0
1465,1
128610,1
44477,1
25067,0
115291,0
43917,1
52314,1
4901,0
46675,1
98458,0
23378,2
73048,0
76343,1
99087,1
9936,0
102862,2
96091,2
46900,0
64928,0
122990,1
130497,0
115366,0
125983,0
122757,0
35645,0
64871,1
95182,0
63102,1
85623,2
121241,1
4508,1
83060,1
95827,0
76018,0
11808,0
112686,1
5974,0
11822,1
91627,0
43810,2
4644,0
44636,0
17080,0
47626,1
109767,0
78906,0
101862,0
71036,0
3599,0
103119,0
3041,1
31812,2
24219,0
87750,1
63079,0
35456,0
85628,0
43105,0
4110,1
28457,2
9480,0
80425,0
32419,0
30010,2
28102,0
127913,0
31908,1
4900,0
14346,1
24966,0
79470,0
49921,0
2301,1
865,1
14491,0
59739,1
111820,1
96254,2
105069,1
5138,0
100969,0
77649,0
115669,1
57118,0
70105,2
98133,1
11372,1
72948,2
40478,0
130438,0
37649,0
74744,0
75649,0
59692,1
17632,0
95173,0
53230,0
87038,0
70708,0
31491,1
15913,1
45325,1
117640,0
50576,0
101127,0
81357,0
87857,0
62536,0
128215,2
119607,0
34493,0
35604,0
37202,1
100418,0
64102,0
121011,1
104193,0
24697,2
84722,0
55314,1
81792,1
80627,0
90360,0
114157,0
81161,2
118859,1
118982,0
94831,2
32587,0
3557,0
63997,1
121267,0
66225,0
87624,2
16648,2
94341,0
19243,0
96335,0
119596,0
127174,0
129704,2
106176,0
57220,0
86322,0
129761,0
89438,0
98317,0
44195,0
97218,0
13077,0
122294,1
74749,2
44000,0
37528,1
8710,0
3730,0
87424,0
71774,0
61928,0
58673,2
51614,1
48668,1
67335,0
16496,0
23008,0
25396,0
107377,0
2573,0
43920,0
3691,1
59712,0
64008,2
120955,0
42582,0
39448,0
111656,0
110896,0
35622,0
36042,0
92904,0
36731,0
86373,0
113088,0
100019,2
111353,0
103733,0
95298,0
130552,0
89209,0
40682,0
82406,0
76210,0
80513,0
77948,0
77242,0
31715,1
72615,1
20815,0
72973,0
27249,0
80698,0
115255,2
19729,1
60830,1
118703,1
67086,0
112222,0
56255,0
19294,0
36139,0
27386,0
17315,0
59973,0
102421,0
92993,0
48111,0
15422,0
119631,0
35410,0
55013,2
839,0
36249,1
46467,0
63492,0
27105,0
118571,0
30374,0
101523,0
118129,1
68137,2
47522,1
79779,0
87085,0
71438,0
97340,0
130519,0
46120,0
108953,2
38985,0
60663,0
130780,0
100336,0
73742,0
22561,0
3861,0
76919,0
66035,0
12999,0
4481,1
56020,0
45258,0
121674,0
106031,1
79926,0
115461,1
100001,0
107165,0
121888,0
76428,0
118193,0
113544,0
27074,0
120541,0
114977,1
129295,0
5630,0
25605,0
86688,2
3173,0
9734,0
118457,0
13203,1
16618,2
114792,1
55944,1
16703,0
51675,0
97661,1
89379,0
60088,1
130505,1
14740,2
50414,0
88299,0
99412,0
72562,0
115325,0
9371,0
97202,0
34,0
34487,2
25706,0
43156,0
5962,1
126865,0
83686,0
30126,0
18901,1
113756,1
15382,0
114956,0
110273,0
67829,0
69675,0
86099,0
48234,0
17390,1
42575,0
113647,1
35978,1
46450,0
11370,2
73486,0
38554,0
81882,0
16000,0
109574,1
95487,0
106192,0
124253,1
73111,0
121806,0
61547,1
51551,0
107203,0
94619,1
22654,0
83467,2
125276,0
6897,1
74415,0
121962,0
113251,0
62225,0
91763,1
15429,2
52949,0
113222,0
97076,0
14287,1
75798,0
9461,0
123503,0
96310,0
73772,0
34007,0
27004,1
6016,0
91006,0
47369,0
81388,0
17809,0
83316,1
44535,0
12106,2
125393,0
112014,0
71289,0
32792,0
47205,0
49218,1
54232,0
119026,0
21694,1
6310,0
29960,0
68009,1
20087,0
1923,0
32869,0
72749,1
22252,0
80530,0
94668,0
129072,0
28369,1
52386,0
128169,0
100011,0
112181,0
26766,0
114892,2
42370,2
109562,2
25263,0
109105,1
43491,0
59699,0
54724,1
26692,1
65697,2
28746,1
6844,0
131130,0
48871,0
101562,1
48171,0
15423,0
81442,0
41029,2
36059,0
23416,0
126172,2
79711,2
112120,0
5207,2
45790,0
89198,0
51756,0
99574,0
111635,1
24412,2
99367,0
127734,1
74232,2
109305,0
37029,1
42625,0
127958,0
12236,0
33353,1
3541,1
116694,0
51958,0
61079,0
84525,0
81699,0
109655,0
26949,0
2178,0
44497,0
8151,0
31318,0
129693,0
61192,1
10288,0
34546,0
106328,1
47593,0
131475,0
54159,1
47871,0
10687,0
86437,0
27699,1
55928,0
21229,0
17990,0
66579,0
2143,0
18564,0
53877,1
105441,0
81520,0
67609,0
25106,1
8617,2
7595,0
27962,1
73765,0
105707,0
40897,1
95503,0
28544,0
99509,2
3082,2
45441,0
73388,1
67842,0
23972,0
56304,0
86332,0
120226,0
75759,0
66249,0
71707,0
82419,1
56639,0
509,1
50169,0
84418,2
107815,1
84813,0
105276,0
29829,2
75167,0
86065,0
67531,1
119889,0
48544,1
116954,0
106153,0
22848,0
75700,2
111371,0
11016,0
5886,2
119583,0
97561,1
99189,0
63834,0
107840,2
68205,1
11281,0
124338,0
7588,0
55958,2
95103,0
129668,0
7058,0
121885,0
90819,0
117447,1
53045,1
42447,1
15061,0
41393,0
92557,0
51610,0
22728,0
72094,0
74512,0
87356,0
69150,0
110720,1
66562,0
119808,1
30578,1
51695,1
49871,0
9226,0
127182,0
103044,0
52682,0
71913,2
73448,2
78659,0
4086,0
127254,0
95843,1
127231,0
51106,0
98812,1
39551,1
52642,0
79095,0
60964,0
82464,0
90280,1
31989,0
49730,2
40452,0
84994,1
109854,0
76962,0
127871,2
117529,0
101339,0
28839,0
115417,0
87912,1
17385,2
112151,0
54450,1
122673,0
55839,1
20338,1
59039,1
2767,0
61152,1
86179,0
68504,0
28860,1
102675,0
87358,0
50495,1
103655,0
43888,1
76131,0
74593,0
4839,2
54746,1
26077,0
2681,0
62669,0
52389,1
74639,1
112186,2
59900,1
16010,0
120826,0
85606,0
22333,0
40325,1
57090,0
41286,0
103994,0
53772,0
54309,0
71197,0
68938,0
63569,0
102217,1
75720,2
79483,0
48297,0
95202,0
60058,1
103735,1
36187,2
35400,0
18702,0
99879,0
6528,0
31503,1
124775,0
108199,0
10179,0
79617,0
43438,0
65835,0
20154,0
3113,1
74298,0
60004,0
113832,0
32757,0
86736,0
104386,1
113881,0
60600,1
89943,0
16461,0
2847,0
43761,0
32952,0
74453,0
1342,1
91518,1
106692,0
55456,0
70408,0
18728,1
61717,0
10511,0
4706,0
28363,0
6864,0
74813,0
84648,0
21642,0
111452,1
103465,1
42519,0
58795,0
51827,0
124026,0
62078,0
82106,0
100263,2
54500,0
129501,2
107765,0
113891,0
118075,1
61625,0
47947,0
93419,0
109756,2
84017,0
128996,0
16331,0
8878,0
49225,0
119590,0
30654,0
85498,2
88110,1
78174,1
87931,0
2877,0
40968,0
51265,0
81151,0
59134,0
121642,0
45143,0
129227,0
106532,0
5600,1
21228,0
1447,0
17529,0
93505,0
74815,1
111225,0
31802,0
86557,1
131284,0
115781,0
82440,0
28333,0
72277,0
88708,2
40979,0
91333,0
99433,1
128991,0
87656,2
114028,0
121491,1
117494,0
94418,0
25262,0
118465,0
27247,1
118440,2
6629,0
46314,0
39973,0
39703,0
75118,0
9340,0
109560,0
5403,2
56156,0
17057,0
75286,0
131487,0
13649,0
122427,0
28612,1
42779,0
56557,1
63162,0
71386,0
58419,0
74497,0
98590,0
1623,0
70225,0
91742,1
48566,0
36569,0
125654,0
23145,2
94046,0
57859,0
87973,0
24917,0
25400,0
69489,0
51262,0
4171,0
43215,0
50548,2
115471,0
25297,0
20833,0
16246,0
68179,1
81117,1
30867,0
131407,2
5650,0
21214,2
68316,0
17818,0
23117,0
21470,1
76706,0
88848,0
100641,1
12942,1
28513,2
78768,1
41044,0
125392,0
80396,1
24926,1
11561,0
41509,0
67224,0
49346,0
72126,0
52584,1
9547,0
6094,0
53323,0
70196,1
72239,0
23249,0
737,0
43832,0
20783,1
90724,0
73357,0
3356,0
130606,0
8114,0
124987,0
119998,1
21504,1
126876,2
472,2
84880,0
125321,0
68421,0
45756,1
1440,1
47701,0
64245,1
127371,0
33659,0
29483,0
93712,0
52711,0
103555,0
83444,0
9291,0
73816,0
121164,0
123313,0
49988,0
82422,0
62064,1
32703,0
127664,1
104134,0
79583,0
131891,1
115192,0
17861,0
81839,2
95126,0
19407,0
44032,0
54815,0
61603,0
78715,0
48278,1
113726,0
37844,0
120815,0
4331,0
72100,0
115812,0
81454,2
64601,1
117528,2
53561,0
17740,2
99211,0
128003,1
129845,1
63822,1
57862,1
91382,0
103335,0
76263,0
47624,0
29846,2
62636,0
40239,0
78819,0
55626,0
93241,1
73354,0
31849,0
59895,0
26233,0
124382,0
28632,0
110028,2
126375,1
1163,0
54148,1
111164,0
45724,2
61484,0
108923,1
52059,1
100007,1
69217,0
19795,0
37543,0
80201,2
56530,0
56981,0
101994,2
123885,0
58265,0
80529,0
130635,0
16239,0
111278,1
71917,0
37050,0
49487,0
24022,0
37307,0
84011,1
97231,0
126654,0
70713,0
85857,0
34905,0
43617,0
16715,1
26263,0
70228,0
112220,0
126311,0
99479,0
96644,0
856,0
74758,1
18483,0
110268,1
26085,0
89740,0
56249,0
33682,0
93771,0
1438,0
24169,0
9843,0
65096,1
79127,0
107339,1
95778,0
45402,0
32805,1
59144,0
115432,1
26343,0
3978,0
42837,1
68250,2
33985,0
19966,0
116957,0
101852,1
87749,0
69016,0
25108,0
96907,0
82999,0
57473,0
93566,0
76931,0
69378,0
7136,1
95338,0
93542,1
82945,0
32963,0
84336,0
83487,0
90415,0
51173,0
113148,0
131867,1
86734,0
43197,0
67022,0
37843,1
103541,0
28107,0
41483,2
114352,0
53248,0
61643,0
59875,0
26649,0
52921,0
99845,2
126074,0
96986,0
24717,0
56062,0
119213,2
35689,2
46940,1
37706,0
15245,0
47923,0
84473,0
99329,1
44909,0
59382,1
9108,0
81459,0
62988,0
127258,0
118984,0
77394,0
53745,0
17542,0
70809,0
72374,0
3327,1
110604,0
84716,0
130425,0
4598,0
86990,1
114278,1
94559,0
75943,2
