task_type,s_ratios,seed,fair_reg,beta,best_val_rmse,best_test_rmse,best_val_gap,best_test_gap,best_epoch
ml-1m-synthetic,0.5_0.5_0.1,1,1.0,0.005,0.36662,0.37108,0.00375,0.01475,72
ml-1m-synthetic,0.5_0.5_0.2,1,1.0,0.005,0.36623,0.37067,0.00539,0.00941,45
ml-1m-synthetic,0.5_0.5_0.3,1,1.0,0.005,0.36657,0.37092,0.00959,0.00844,45
ml-1m-synthetic,0.5_0.5_0.4,1,1.0,0.005,0.36589,0.37039,0.00525,0.00815,45
ml-1m-synthetic,0.5_0.5_0.1,2,1.0,0.005,0.36728,0.37175,0.02152,0.01249,114
ml-1m-synthetic,0.5_0.5_0.2,2,1.0,0.005,0.36799,0.37253,0.01461,0.00748,174
ml-1m-synthetic,0.5_0.5_0.3,2,1.0,0.005,0.36841,0.37278,0.01663,0.00681,174
ml-1m-synthetic,0.5_0.5_0.4,2,1.0,0.005,0.36624,0.37075,0.01104,0.00552,84
ml-1m-synthetic,0.5_0.5_0.1,3,1.0,0.005,0.36418,0.36865,0.00148,0.01575,6
ml-1m-synthetic,0.5_0.5_0.2,3,1.0,0.005,0.36742,0.37189,0.01070,0.00865,135
ml-1m-synthetic,0.5_0.5_0.3,3,1.0,0.005,0.36258,0.36718,0.00202,0.00721,0
ml-1m-synthetic,0.5_0.5_0.4,3,1.0,0.005,0.36372,0.36832,0.00070,0.01018,6
