task_type,s_ratios,seed,fair_reg,beta,best_val_rmse,best_test_rmse,best_val_gap,best_test_gap,best_epoch
ml-1m,0.5_0.1,1,1.0,0.005,0.412115,0.412632,0.010349,0.002787,3
ml-1m,0.5_0.2,1,1.0,0.005,0.412139,0.412629,0.011218,0.002447,3
ml-1m,0.5_0.1,1,1.0,0.005,0.41301,0.41354,0.00630,0.00091,0
ml-1m,0.5_0.2,1,1.0,0.005,0.41305,0.41355,0.00762,0.00030,0
ml-1m,0.5_0.3,1,1.0,0.005,0.41533,0.41579,0.00006,0.00261,60
ml-1m,0.5_0.4,1,1.0,0.005,0.41404,0.41443,0.00134,0.00481,33
ml-1m,0.5_0.1,2,1.0,0.005,0.41797,0.41840,0.01548,0.00292,108
ml-1m,0.5_0.2,2,1.0,0.005,0.41816,0.41844,0.00003,0.00289,120
ml-1m,0.5_0.3,2,1.0,0.005,0.41942,0.41953,0.00216,0.00441,162
ml-1m,0.5_0.4,2,1.0,0.005,0.41743,0.41768,0.00000,0.00482,108
ml-1m,0.5_0.1,3,1.0,0.005,0.41511,0.41578,0.00002,0.00150,48
ml-1m,0.5_0.2,3,1.0,0.005,0.42026,0.42030,0.00802,0.00123,189
ml-1m,0.5_0.3,3,1.0,0.005,0.41691,0.41729,0.00763,0.00120,93
ml-1m,0.5_0.4,3,1.0,0.005,0.41997,0.42000,0.00083,0.00233,189
